"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/07/2020","AQS","040128000","3","2","ug/m3 LC","8","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"01/08/2020","AQS","040128000","3","3.1","ug/m3 LC","13","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"01/09/2020","AQS","040128000","3","4.5","ug/m3 LC","19","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"01/10/2020","AQS","040128000","3","3.6","ug/m3 LC","15","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"01/11/2020","AQS","040128000","3","4.1","ug/m3 LC","17","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"01/12/2020","AQS","040128000","3","4","ug/m3 LC","17","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"01/13/2020","AQS","040128000","3","3.7","ug/m3 LC","15","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"01/14/2020","AQS","040128000","3","3.4","ug/m3 LC","14","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"01/15/2020","AQS","040128000","3","3.3","ug/m3 LC","14","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"01/16/2020","AQS","040128000","3","4.1","ug/m3 LC","17","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"01/17/2020","AQS","040128000","3","4.9","ug/m3 LC","20","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"01/18/2020","AQS","040128000","3","2.3","ug/m3 LC","10","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"01/19/2020","AQS","040128000","3","1.9","ug/m3 LC","8","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"01/20/2020","AQS","040128000","3","2.7","ug/m3 LC","11","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"01/21/2020","AQS","040128000","3","2.6","ug/m3 LC","11","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"01/22/2020","AQS","040128000","3","3","ug/m3 LC","13","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"01/23/2020","AQS","040128000","3","3.4","ug/m3 LC","14","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"01/24/2020","AQS","040128000","3","3","ug/m3 LC","13","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"01/25/2020","AQS","040128000","3","2.5","ug/m3 LC","10","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"01/26/2020","AQS","040128000","3","2","ug/m3 LC","8","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"01/27/2020","AQS","040128000","3","2","ug/m3 LC","8","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"01/28/2020","AQS","040128000","3","1.8","ug/m3 LC","8","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"01/29/2020","AQS","040128000","3","2.1","ug/m3 LC","9","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"01/30/2020","AQS","040128000","3","1.6","ug/m3 LC","7","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"01/31/2020","AQS","040128000","3","2.1","ug/m3 LC","9","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"02/01/2020","AQS","040128000","3","2.2","ug/m3 LC","9","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"02/02/2020","AQS","040128000","3","2","ug/m3 LC","8","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"02/03/2020","AQS","040128000","3","4","ug/m3 LC","17","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"02/04/2020","AQS","040128000","3","2.8","ug/m3 LC","12","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"02/05/2020","AQS","040128000","3","3.7","ug/m3 LC","15","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"02/06/2020","AQS","040128000","3","2.5","ug/m3 LC","10","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"02/07/2020","AQS","040128000","3","3.2","ug/m3 LC","13","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"02/08/2020","AQS","040128000","3","3.8","ug/m3 LC","16","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"02/09/2020","AQS","040128000","3","4.5","ug/m3 LC","19","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"02/10/2020","AQS","040128000","3","2.9","ug/m3 LC","12","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"02/11/2020","AQS","040128000","3","2.2","ug/m3 LC","9","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"02/12/2020","AQS","040128000","3","2.9","ug/m3 LC","12","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"02/13/2020","AQS","040128000","3","3.5","ug/m3 LC","15","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"02/14/2020","AQS","040128000","3","3.2","ug/m3 LC","13","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"02/15/2020","AQS","040128000","3","3.9","ug/m3 LC","16","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"02/16/2020","AQS","040128000","3","4.6","ug/m3 LC","19","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"02/17/2020","AQS","040128000","3","5.1","ug/m3 LC","21","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"02/18/2020","AQS","040128000","3","5.5","ug/m3 LC","23","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"02/19/2020","AQS","040128000","3","5.4","ug/m3 LC","23","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"02/20/2020","AQS","040128000","3","5","ug/m3 LC","21","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"02/21/2020","AQS","040128000","3","5.1","ug/m3 LC","21","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"02/22/2020","AQS","040128000","3","3.9","ug/m3 LC","16","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"02/23/2020","AQS","040128000","3","3.1","ug/m3 LC","13","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"02/24/2020","AQS","040128000","3","3.2","ug/m3 LC","13","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"02/25/2020","AQS","040128000","3","2.7","ug/m3 LC","11","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"02/26/2020","AQS","040128000","3","2","ug/m3 LC","8","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"02/27/2020","AQS","040128000","3","0.9","ug/m3 LC","4","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"02/28/2020","AQS","040128000","3","1.8","ug/m3 LC","8","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"02/29/2020","AQS","040128000","3","3.3","ug/m3 LC","14","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"03/01/2020","AQS","040128000","3","4.1","ug/m3 LC","17","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"03/02/2020","AQS","040128000","3","4.2","ug/m3 LC","18","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"03/03/2020","AQS","040128000","3","2.8","ug/m3 LC","12","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"03/04/2020","AQS","040128000","3","0.7","ug/m3 LC","3","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"03/05/2020","AQS","040128000","3","0.8","ug/m3 LC","3","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"03/06/2020","AQS","040128000","3","2.4","ug/m3 LC","10","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"03/07/2020","AQS","040128000","3","2.9","ug/m3 LC","12","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"03/08/2020","AQS","040128000","3","2.1","ug/m3 LC","9","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"03/09/2020","AQS","040128000","3","1.5","ug/m3 LC","6","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"03/10/2020","AQS","040128000","3","3.2","ug/m3 LC","13","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"03/11/2020","AQS","040128000","3","0.4","ug/m3 LC","2","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"03/12/2020","AQS","040128000","3","0.1","ug/m3 LC","0","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"03/13/2020","AQS","040128000","3","1.4","ug/m3 LC","6","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"03/14/2020","AQS","040128000","3","1.7","ug/m3 LC","7","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"03/15/2020","AQS","040128000","3","1.6","ug/m3 LC","7","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"03/16/2020","AQS","040128000","3","2","ug/m3 LC","8","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"03/17/2020","AQS","040128000","3","3.4","ug/m3 LC","14","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"03/18/2020","AQS","040128000","3","2","ug/m3 LC","8","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"03/19/2020","AQS","040128000","3","3.2","ug/m3 LC","13","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"03/20/2020","AQS","040128000","3","2.8","ug/m3 LC","12","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"03/21/2020","AQS","040128000","3","2.8","ug/m3 LC","12","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"03/22/2020","AQS","040128000","3","3.1","ug/m3 LC","13","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"03/23/2020","AQS","040128000","3","2.8","ug/m3 LC","12","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"03/24/2020","AQS","040128000","3","2.1","ug/m3 LC","9","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"03/25/2020","AQS","040128000","3","1.9","ug/m3 LC","8","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"03/26/2020","AQS","040128000","3","2.5","ug/m3 LC","10","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"03/27/2020","AQS","040128000","3","4","ug/m3 LC","17","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"03/28/2020","AQS","040128000","3","3.7","ug/m3 LC","15","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"03/29/2020","AQS","040128000","3","4.2","ug/m3 LC","18","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"03/30/2020","AQS","040128000","3","3.1","ug/m3 LC","13","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"03/31/2020","AQS","040128000","3","3.6","ug/m3 LC","15","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"04/01/2020","AirNow","040128000","3","3.1","ug/m3 LC","13","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"04/02/2020","AirNow","040128000","3","4.7","ug/m3 LC","20","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"04/03/2020","AirNow","040128000","3","3.7","ug/m3 LC","15","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"04/04/2020","AirNow","040128000","3","4.5","ug/m3 LC","19","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
